optimizer_category,problem_type,optimizer_name,problem_name,best_result,best_step,used_budget,error_message,runtime,seed,efficiency
a,a,HABO,nn-10101,0.02,22.0,206.0,,,105,0.4166666666666667
g,a,ACO,nn-10101,0.02,122.0,198.0,,,105,0.1666666666666666
g,a,GA,nn-10101,0.0,29.0,205.0,,,105,0.4166666666666667
g,a,CMAES,nn-10101,0.02,8.0,88.0,,,105,0.6666666666666666
g,a,SA,nn-10101,0.02,26.0,206.0,,,105,2.1666666666666665
a,a,DEHB,nn-10101,0.02,362.0,35.3827160493827,,,105,1.2921810699588478
a,a,GGA,nn-10101,0.03,1.0,206.0,,,105,0.25
g,a,HillClimbing,nn-10101,0.03,11.0,48.0,,,105,0.9166666666666666
g,a,PSO,nn-10101,0.03,5.0,161.0,,,105,0.4166666666666667
a,a,SMAC,nn-10101,0.0,168.0,206.0,,,105,0.1666666666666666
a,a,UQGuided,nn-10101,0.03,5.0,206.0,,,105,0.4166666666666667
a,a,Hyperband,nn-10101,0.02,1643.0,176.4814814814835,,,105,1.5000000000000002
g,a,BO,nn-10101,0.02,23.0,206.0,,,105,0.4166666666666667
a,a,ParamILS,nn-10101,0.03,5.0,71.0,,,105,0.4166666666666667
a,a,HEBO,nn-10101,0.03,8.0,206.0,,,105,0.6666666666666666
g,a,RandomSearch,nn-10101,0.02,16.0,206.0,,,105,0.4166666666666667
a,a,irace,nn-10101,0.0,98.0,206.0,,,105,0.1666666666666666
g,a,ES,nn-10101,0.02,127.0,206.0,,,105,0.4166666666666667
g,a,GA,rf-146822,0.0099999999999998,6.0,66.0,,,105,2.0
a,a,BOHB,rf-146822,0.0099999999999998,40.0,3.9296875,,,105,3.9296875
a,a,DEHB,rf-146822,0.0099999999999998,40.0,4.0,,,105,4.0
g,a,CMAES,rf-146822,0.0099999999999998,9.0,67.0,,,105,2.0
g,a,DE,rf-146822,0.0099999999999998,6.0,67.0,,,105,2.0
g,a,PSO,rf-146822,0.0099999999999998,6.0,60.0,,,105,2.0
